"graph.class.parameter","vertex.entropy","degree.entropy","betweenness.entropy","clustering.coefficient.entropy","sd.vertex.entropy","sd.degree.entropy","sd.betweenness.entropy","sd.clustering.coefficient.entropy","d.degree","d.betweenness","d.clustering.coefficient","sd.degree","sd.betweenness","sd.clustering.coefficient","graph.class.name", "num.nodes"
0.21,0.94319506313684,2.47591585569064,3.14313432577663,3.34587755196023,0.0318261109145828,0.400596487452006,0.0801229953698123,0.154834821832577,36.3648,62.3324,0.78089667922545,4.29037740307071,79.829578298947,0.0397212896639845,"forest.fire", 50
0.22,0.943514258893099,2.44419602524083,3.13153070532418,3.36572789285989,0.0338324782193286,0.40327408943259,0.0753904813124963,0.120917981409086,37.3416,62.4976,0.801979207671894,4.1846615245126,75.645715667031,0.0364626405047325,"forest.fire", 50
0.23,0.942756970269422,2.3941003608273,3.14068274677006,3.34194250543193,0.0381391366133082,0.468940260379492,0.0732472334975148,0.150078848469758,37.8056,62.9456,0.816888728638164,4.16680922217107,82.6995524257982,0.0371317430907067,"forest.fire", 50
0.24,0.94309830315207,2.35326801343643,3.14747271003102,3.31959143921417,0.0363506449109431,0.498846672273434,0.0648916813030504,0.197983977118062,38.2056,62.384,0.822777340429378,4.18807564915494,80.3723498309197,0.0362936854602205,"forest.fire", 50
0.25,0.943522992088198,2.27230685505135,3.13175707190328,3.23694124773699,0.032715418124563,0.581239844218983,0.0788796536232406,0.500575884724976,38.8336,64.0644,0.830996266632792,3.79331931658864,81.9599231289871,0.0342372652980748,"forest.fire", 50
0.26,0.943194290502907,2.23660165896317,3.13311961613188,3.3056080810188,0.0380881111576907,0.570893915745287,0.0812511331900959,0.178571547465832,39.4544,62.4052,0.844320580571383,3.69818056679975,79.5501302354175,0.0362423535956607,"forest.fire", 50
0.27,0.945674165994392,2.17758213333285,3.1232467336365,3.20642217546909,0.0253006551855653,0.646487378321957,0.0878700034708572,0.505773253090944,40.0552,61.7068,0.854923950774621,3.55575709703003,77.6887738891453,0.0340004371373503,"forest.fire", 50
0.28,0.945016618980431,2.14126372619283,3.12985426288646,3.16923154423974,0.035172877224983,0.641264380192096,0.0853228267432216,0.669564427105546,40.7248,62.0448,0.872345029078072,3.59737500955601,77.6179121081978,0.0324470764374122,"forest.fire", 50
0.29,0.944012504482515,2.07069610354863,3.14606293044395,3.07091788537085,0.0385719271152833,0.699124273943372,0.068421539343588,0.812242307230757,41.2984,62.7296,0.886328376623209,3.42385048865634,80.3717580964714,0.0317459279993979,"forest.fire", 50
0.3,0.94619828213548,1.97758352694908,3.15095692229486,2.77230507059204,0.0266080329526063,0.695629569453983,0.0896245219399415,1.23043230867812,41.8096,60.5196,0.892814206503361,3.13676375375105,74.2623652197292,0.0297460658646502,"forest.fire", 50
